日期,区域,街道,小区,布局,总面积,月租价格
20180827,洪山,卓刀泉,领秀城,3室2厅,119平米,4500
20180827,洪山,卓刀泉,城投瀚城,1室0厅,16平米,1000
20180827,洪山,卓刀泉,城投瀚城,3室2厅,143平米,3500
20180827,洪山,卓刀泉,城投瀚城,3室2厅,160平米,3600
20180827,洪山,卓刀泉,城投瀚城摩卡公馆,1室0厅,37平米,2300
20180827,洪山,卓刀泉,永利国际大厦,1室1厅,42平米,2600
20180827,洪山,卓刀泉,领秀城,2室1厅,20平米,1400
20180827,洪山,卓刀泉,保利蓝海郡,3室1厅,95平米,3500
20180827,洪山,卓刀泉,城投瀚城,2室2厅,105平米,2200
20180827,洪山,卓刀泉,绿汀雅境,2室2厅,95平米,2650
20180827,洪山,卓刀泉,绿汀雅境,2室2厅,95平米,3200
20180827,洪山,卓刀泉,翡翠城,1室0厅,150平米,3700
20180827,洪山,卓刀泉,城投瀚城,1室1厅,20平米,900
20180827,洪山,卓刀泉,城投瀚城,4室2厅,200平米,4500
20180827,洪山,卓刀泉,城投瀚城,1室0厅,15平米,900
20180827,洪山,卓刀泉,武汉大学珞桂小区,4室1厅,142平米,3200
20180827,洪山,卓刀泉,凯乐桂园,2室2厅,80平米,3600
20180827,洪山,卓刀泉,绿汀雅境,3室1厅,126平米,3800
20180827,洪山,卓刀泉,城投瀚城,4室2厅,257平米,13000
20180827,洪山,卓刀泉,保利拉菲,2室1厅,87平米,3000
20180827,洪山,卓刀泉,南湖锦园,4室1厅,126平米,4500
20180827,洪山,卓刀泉,绿汀雅境,4室2厅,97平米,4000
20180827,洪山,卓刀泉,桂子花园一期,3室1厅,112平米,2800
20180827,洪山,卓刀泉,建信小区,3室2厅,105平米,3200
20180827,洪山,卓刀泉,文泉书苑,4室1厅,35平米,900
20180827,洪山,卓刀泉,枫景佳园,1室0厅,17平米,1350
20180827,洪山,卓刀泉,学雅芳邻,1室1厅,50平米,1300
20180827,洪山,卓刀泉,湖北省林业调查规划院宿舍,3室1厅,110平米,2800
20180827,洪山,卓刀泉,领秀城,3室2厅,125平米,4200
20180827,洪山,卓刀泉,保利蓝海郡,2室2厅,89平米,3000
20180827,洪山,卓刀泉,阳光美墅,1室0厅,20平米,1200
20180827,洪山,卓刀泉,绿汀雅境,1室0厅,20平米,1100
20180827,洪山,卓刀泉,桂子花园二期,1室1厅,25平米,900
20180827,洪山,卓刀泉,学雅芳邻,3室2厅,139平米,3500
20180827,洪山,卓刀泉,保利浅水湾,2室2厅,89平米,2900
20180827,洪山,卓刀泉,保利拉菲,2室2厅,93平米,3000
20180827,洪山,卓刀泉,保利蓝海郡,6室2厅,288平米,7000
20180827,洪山,卓刀泉,保利蓝海郡,2室1厅,90平米,2700
20180827,洪山,卓刀泉,绿汀雅境,1室0厅,10平米,1000
20180827,洪山,卓刀泉,高创小区,1室0厅,20平米,800
20180827,洪山,卓刀泉,学雅芳邻,2室1厅,75平米,2500
20180827,洪山,卓刀泉,凯乐桂园,3室2厅,100平米,3800
20180827,洪山,卓刀泉,万科翡翠云台,3室2厅,125平米,6500
20180827,洪山,卓刀泉,永利国际大厦,1室1厅,41平米,2800
20180827,洪山,卓刀泉,武汉警官职业学院武昌校区,1室0厅,15平米,1300
20180827,洪山,卓刀泉,保利蓝海郡,1室0厅,15平米,1200
20180827,洪山,卓刀泉,领秀城,3室2厅,102平米,4500
20180827,洪山,卓刀泉,万科翡翠云台,3室2厅,125平米,5000
20180827,洪山,卓刀泉,学雅芳邻,3室2厅,106平米,3200
20180827,洪山,卓刀泉,保利拉菲,3室2厅,130平米,3800
20180827,洪山,卓刀泉,领秀城,3室2厅,119平米,4500
20180827,洪山,卓刀泉,城投瀚城,1室0厅,16平米,1000
20180827,洪山,卓刀泉,城投瀚城,4室2厅,178平米,3300
20180827,洪山,卓刀泉,名都花园,4室2厅,164平米,4500
20180827,洪山,卓刀泉,城投瀚城,3室2厅,140平米,3300
20180827,洪山,卓刀泉,南湖锦园,2室1厅,90平米,2800
20180827,洪山,卓刀泉,领秀城,3室1厅,104平米,3500
20180827,洪山,卓刀泉,保利拉菲,3室2厅,94平米,3500
20180827,洪山,卓刀泉,绿汀雅境,3室2厅,118平米,3200
20180827,洪山,卓刀泉,桂子花园一期,2室2厅,95平米,2600
20180827,洪山,卓刀泉,武汉大学珞桂小区,1室0厅,15平米,1200
20180827,洪山,卓刀泉,领秀城,3室2厅,119平米,3800
20180827,洪山,卓刀泉,科技公寓,2室1厅,83平米,2000
20180827,洪山,卓刀泉,凯乐桂园,1室0厅,15平米,800
20180827,洪山,卓刀泉,名都花园,4室2厅,143平米,5000
20180827,洪山,卓刀泉,枫景佳园,3室1厅,130平米,3800
20180827,洪山,卓刀泉,南湖半岛,4室1厅,160平米,4500
